Name,Age,Team,Position,Games Played,Games Started,Record,Completed Passes,Passes Attempted,Completion Percentage,Passing Yards,Passing Touchdowns,Touchdown Percentage,Interceptions,Interception Percentage,Passing First Downs,Longest Pass Thrown,Yards per Passing Attempt,Passer Rating,Quarterback Rating
Tua Tagovailoa,25.0,MIA,QB,17.0,17.0,11-6-0,388.0,560.0,69.3,4624.0,29.0,5.2,14.0,2.5,222.0,78.0,8.3,101.1,60.8
Jared Goff,29.0,DET,QB,17.0,17.0,12-5-0,407.0,605.0,67.3,4575.0,30.0,5.0,12.0,2.0,227.0,70.0,7.6,97.9,60.3
Dak Prescott,30.0,DAL,QB,17.0,17.0,12-5-0,410.0,590.0,69.5,4516.0,36.0,6.1,9.0,1.5,222.0,92.0,7.7,105.9,72.7
Josh Allen,27.0,BUF,QB,17.0,17.0,11-6-0,385.0,579.0,66.5,4306.0,29.0,5.0,18.0,3.1,199.0,81.0,7.4,92.2,69.6
Brock Purdy,24.0,SFO,QB,16.0,16.0,12-4-0,308.0,444.0,69.4,4280.0,31.0,7.0,11.0,2.5,192.0,76.0,9.6,113.0,72.8
Patrick Mahomes,28.0,KAN,QB,16.0,16.0,10-6-0,401.0,597.0,67.2,4183.0,27.0,4.5,14.0,2.3,206.0,67.0,7.0,92.6,63.1
Jordan Love,25.0,GNB,QB,17.0,17.0,9-8-0,372.0,579.0,64.2,4159.0,32.0,5.5,11.0,1.9,209.0,77.0,7.2,96.1,62.1
C.J. Stroud,22.0,HOU,QB,15.0,15.0,9-6-0,319.0,499.0,63.9,4108.0,23.0,4.6,5.0,1.0,188.0,75.0,8.2,100.8,57.5
Baker Mayfield,28.0,TAM,QB,17.0,17.0,9-8-0,364.0,566.0,64.3,4044.0,28.0,4.9,10.0,1.8,188.0,75.0,7.1,94.6,54.3
Trevor Lawrence,24.0,JAX,QB,16.0,16.0,8-8-0,370.0,564.0,65.6,4016.0,21.0,3.7,14.0,2.5,179.0,65.0,7.1,88.5,56.1
Matthew Stafford,35.0,LAR,QB,15.0,15.0,9-6-0,326.0,521.0,62.6,3965.0,24.0,4.6,11.0,2.1,187.0,80.0,7.6,92.5,63.5
Sam Howell,23.0,WAS,QB,17.0,17.0,4-13-0,388.0,612.0,63.4,3946.0,21.0,3.4,21.0,3.4,180.0,51.0,6.4,78.9,42.4
Derek Carr,32.0,NOR,QB,17.0,17.0,9-8-0,375.0,548.0,68.4,3878.0,25.0,4.6,8.0,1.5,185.0,58.0,7.1,97.7,56.5
