Name,Age,Team,Position,Games Played,Games Started,Record,Completed Passes,Passes Attempted,Completion Percentage,Passing Yards,Passing Touchdowns,Touchdown Percentage,Interceptions,Interception Percentage,Passing First Downs,Longest Pass Thrown,Yards per Passing Attempt,Passer Rating,Quarterback Rating
Tua Tagovailoa,25,MIA,QB,17,17,11-6-0,388,560,69,4624,29,5,14,2,222,78,8,101,60
Jared Goff,29,DET,QB,17,17,12-5-0,407,605,67,4575,30,5,12,2,227,70,7,97,60
Dak Prescott,30,DAL,QB,17,17,12-5-0,410,590,69,4516,36,6,9,1,222,92,7,105,72
Josh Allen,27,BUF,QB,17,17,11-6-0,385,579,66,4306,29,5,18,3,199,81,7,92,69
Brock Purdy,24,SFO,QB,16,16,12-4-0,308,444,69,4280,31,7,11,2,192,76,9,113,72
Patrick Mahomes,28,KAN,QB,16,16,10-6-0,401,597,67,4183,27,4,14,2,206,67,7,92,63
Jordan Love,25,GNB,QB,17,17,9-8-0,372,579,64,4159,32,5,11,1,209,77,7,96,62
C.J. Stroud,22,HOU,QB,15,15,9-6-0,319,499,63,4108,23,4,5,1,188,75,8,100,57
Baker Mayfield,28,TAM,QB,17,17,9-8-0,364,566,64,4044,28,4,10,1,188,75,7,94,54
Trevor Lawrence,24,JAX,QB,16,16,8-8-0,370,564,65,4016,21,3,14,2,179,65,7,88,56
Matthew Stafford,35,LAR,QB,15,15,9-6-0,326,521,62,3965,24,4,11,2,187,80,7,92,63
Sam Howell,23,WAS,QB,17,17,4-13-0,388,612,63,3946,21,3,21,3,180,51,6,78,42
Derek Carr,32,NOR,QB,17,17,9-8-0,375,548,68,3878,25,4,8,1,185,58,7,97,56
Jalen Hurts,25,PHI,QB,17,17,11-6-0,352,538,65,3858,23,4,15,2,185,63,7,89,60
Lamar Jackson,26,BAL,QB,16,16,13-3-0,307,457,67,3678,24,5,7,1,167,80,8,102,64
Geno Smith,33,SEA,QB,15,15,8-7-0,323,499,64,3624,20,4,9,1,169,73,7,92,59
Gardner Minshew II,27,IND,QB,17,13,7-6-0,305,490,62,3305,15,3,9,1,147,75,6,84,59
Justin Herbert,25,LAC,QB,13,13,5-8-0,297,456,65,3134,20,4,7,1,150,60,6,93,64
Russell Wilson,35,DEN,QB,15,15,7-8-0,297,447,66,3070,26,5,8,1,135,60,6,98,50
Bryce Young,22,CAR,QB,16,16,2-14-0,315,527,59,2877,11,2,10,1,133,48,5,73,33
Desmond Ridder,24,ATL,QB,15,13,6-7-0,249,388,64,2836,12,3,12,3,136,71,7,83,40
Justin Fields,24,CHI,QB,13,13,5-8-0,227,370,61,2562,16,4,9,2,121,58,6,86,46
Joshua Dobbs,28,2TM,QB,13,12,3-9-0,262,417,62,2464,13,3,10,2,126,69,5,79,0
Kirk Cousins,35,MIN,QB,8,8,4-4-0,216,311,69,2331,18,5,5,1,112,62,7,103,63
Joe Burrow,27,CIN,QB,10,10,5-5-0,244,365,66,2309,15,4,6,1,115,64,6,91,51
Zach Wilson,24,NYJ,QB,12,11,4-7-0,221,368,60,2271,8,2,7,1,104,68,6,77,30
Aidan O'Connell,25,LVR,QB,11,10,5-5-0,213,343,62,2218,12,3,7,2,107,50,6,83,40
Mac Jones,25,NWE,QB,11,11,2-9-0,224,345,64,2120,10,2,12,3,100,58,6,77,36
Kenny Pickett,25,PIT,QB,12,12,7-5-0,201,324,62,2070,6,1,4,1,91,72,6,81,38
Jake Browning,27,CIN,QB,9,7,4-3-0,171,243,70,1936,12,4,7,2,93,80,8,98,60
Will Levis,24,TEN,QB,9,9,3-6-0,149,255,58,1808,8,3,4,1,81,61,7,84,33
Kyler Murray,26,ARI,QB,8,8,3-5-0,176,268,65,1799,10,3,5,1,88,48,6,89,47
Joe Flacco,38,CLE,QB,5,5,4-1-0,123,204,60,1616,13,6,8,3,60,75,7,90,48
Ryan Tannehill,35,TEN,QB,10,8,3-5-0,149,230,64,1616,4,1,7,3,74,70,7,78,35
Tyrod Taylor,34,NYG,QB,11,5,2-3-0,116,180,64,1341,5,2,3,1,52,80,7,89,47
Nick Mullens,28,MIN,QB,5,3,0-3-0,100,148,67,1306,7,4,8,5,57,47,8,88,49
Bailey Zappe,24,NWE,QB,10,6,2-4-0,127,212,59,1272,6,2,9,4,53,48,6,68,23
Jimmy Garoppolo,32,LVR,QB,7,6,3-3-0,110,169,65,1205,7,4,9,5,60,32,7,77,33
Easton Stick,28,LAC,QB,5,4,0-4-0,111,174,63,1129,3,1,1,0,53,79,6,85,51
Deshaun Watson,28,CLE,QB,6,6,5-1-0,105,171,61,1115,7,4,4,2,52,59,6,84,42
Tommy DeVito,25,NYG,QB,9,6,3-3-0,114,178,64,1101,8,4,3,1,46,41,6,89,23
Daniel Jones,26,NYG,QB,6,6,1-5-0,108,160,67,909,2,1,6,3,43,58,5,70,36
Taylor Heinicke,30,ATL,QB,5,4,1-3-0,74,136,54,890,5,3,4,2,41,75,6,74,47
Tyson Bagent,23,CHI,QB,5,4,2-2-0,94,143,65,859,3,2,6,4,48,41,6,71,51
Trevor Siemian,32,NYJ,QB,5,3,2-1-0,86,153,56,724,2,1,4,2,35,30,4,62,14
Mason Rudolph,28,PIT,QB,4,3,3-0-0,55,74,74,719,3,4,0,0,26,86,9,118,70
P.J. Walker,28,CLE,QB,6,2,1-1-0,54,111,48,674,1,0,5,4,27,58,6,52,18
Mitchell Trubisky,29,PIT,QB,5,2,0-2-0,67,107,62,632,4,3,5,4,36,26,5,71,34
Anthony Richardson,21,IND,QB,4,4,2-2-0,50,84,59,577,3,3,1,1,31,39,6,87,45
Drew Lock,27,SEA,QB,4,2,1-1-0,48,76,63,543,3,3,3,3,20,51,7,81,44
Jarrett Stidham,27,DEN,QB,3,2,1-1-0,40,66,60,496,2,3,1,1,19,54,7,87,31
Dorian Thompson-Robinson,24,CLE,QB,8,3,1-2-0,60,112,53,440,1,0,4,3,26,23,3,51,34
Andy Dalton,36,CAR,QB,3,1,0-1-0,34,58,58,361,2,3,0,0,17,47,6,88,48
Tim Boyle,29,NYJ,QB,3,2,0-2-0,48,77,62,360,1,1,4,5,16,36,4,56,10
C.J. Beathard,30,JAX,QB,7,1,1-0-0,40,53,75,349,1,1,0,0,19,48,6,98,55
Sam Darnold,26,SFO,QB,10,1,0-1-0,28,46,60,297,2,4,1,2,15,48,6,85,49
Case Keenum,35,HOU,QB,2,2,1-1-0,34,53,64,291,1,1,3,5,14,41,5,61,21
Jameis Winston,29,NOR,QB,7,0,,25,47,53,264,2,4,3,6,10,30,5,57,35
Brian Hoyer,38,LVR,QB,3,1,0-1-0,23,42,54,231,0,0,2,4,14,48,5,50,69
Jacoby Brissett,31,WAS,QB,3,0,,18,23,78,224,3,13,0,0,10,48,9,146,95
Tyler Huntley,25,BAL,QB,5,1,0-1-0,21,37,56,203,3,8,0,0,13,27,5,99,56
Blaine Gabbert,34,KAN,QB,2,1,1-0-0,18,35,51,185,0,0,3,8,8,37,5,31,47
Davis Mills,25,HOU,QB,6,0,,18,39,46,173,2,5,0,0,12,19,4,76,48
Brett Rypien,27,LAR,QB,2,1,0-1-0,18,38,47,172,0,0,1,2,8,34,4,49,19
Jaren Hall,25,MIN,QB,3,2,1-1-0,13,20,65,168,0,0,1,5,7,47,8,70,5
Jeff Driskel,30,CLE,QB,1,1,0-1-0,13,26,50,166,2,7,2,7,8,31,6,63,4
Marcus Mariota,30,PHI,QB,3,0,,15,23,65,164,1,4,1,4,10,22,7,82,59
Carson Wentz,31,LAR,QB,2,1,1-0-0,17,24,70,163,2,8,1,4,11,29,6,99,89
Cooper Rush,30,DAL,QB,7,0,,18,24,75,144,0,0,1,4,7,29,6,72,52
Mike White,28,MIA,QB,6,0,,5,6,83,74,1,16,1,16,1,68,12,118,0
